Density,Trial,Method,AUROC,AUPR
0.01,49,NE,0.8148307376087426,0.08273251484498698
0.01,49,Silencer,0.434731694738707,0.009446071856080457
0.01,49,ICM,0.4003477352685558,0.008368879309832659
0.01,50,SPSID,0.9313398363045184,0.16366927541236856
0.01,50,RENDOR,0.88284561049445,0.09860977023666688
0.01,50,ND,0.8795162013678662,0.11598340457280636
0.01,50,NE,0.843294091265837,0.09375490297642264
0.01,50,Silencer,0.5203845722614643,0.010107994007541836
0.01,50,ICM,0.4485906491759166,0.008442704423131997
0.01,51,SPSID,0.9082377779243913,0.16050954721298186
0.01,51,RENDOR,0.8640254227969475,0.09800983021410695
0.01,51,ND,0.855997009082712,0.11764433980805646
0.01,51,NE,0.8074759736975216,0.08234063580684256
0.01,51,Silencer,0.5358162345231027,0.013184749868774761
0.01,51,ICM,0.4232310703525325,0.009602505448972025
0.01,52,SPSID,0.9312786329887136,0.20832739152300772
0.01,52,RENDOR,0.8772423689245404,0.08634215503069616
0.01,52,ND,0.8796805611626969,0.12669620181726046
0.01,52,NE,0.8350564322199014,0.0913414426716773
0.01,52,Silencer,0.5510369310701936,0.010532544039911423
0.01,52,ICM,0.5180771796177002,0.011219248225425324
0.01,53,SPSID,0.8964528227587928,0.11625894193439733
0.01,53,RENDOR,0.8427961543633186,0.05875405418392324
0.01,53,ND,0.846984311070132,0.09400290692317859
0.01,53,NE,0.7961879790237999,0.05036844765005009
0.01,53,Silencer,0.5478675637257727,0.011953944601260324
0.01,53,ICM,0.4938075068672084,0.008259244602142368
0.01,54,SPSID,0.9136313187367571,0.20848197687508135
0.01,54,RENDOR,0.8603180667491234,0.09370000036660403
0.01,54,ND,0.8530023954770491,0.09705227188333689
0.01,54,NE,0.8337104726447404,0.0720642807939103
0.01,54,Silencer,0.5251133968726157,0.009744265053650336
0.01,54,ICM,0.4193054136874361,0.007987900878701671
0.01,55,SPSID,0.888429295652304,0.14968322232535292
0.01,55,RENDOR,0.8567791406448907,0.08790695304539999
0.01,55,ND,0.8558412334696202,0.11145855465041164
0.01,55,NE,0.8249015291069477,0.07216318004169796
0.01,55,Silencer,0.504327290290695,0.02462679521214397
0.01,55,ICM,0.4713123961001033,0.009882707791051763
0.01,56,SPSID,0.9107279306982241,0.128407912980329
0.01,56,RENDOR,0.8597771879721392,0.08143000907921971
0.01,56,ND,0.8577463008634895,0.09706956814331717
0.01,56,NE,0.8429294633425747,0.06530927607616022
0.01,56,Silencer,0.49708614370309046,0.008782583456956712
0.01,56,ICM,0.46639847129799367,0.00874588467831746
0.01,57,SPSID,0.9023079900376951,0.22753483427967255
0.01,57,RENDOR,0.860401521270867,0.0969993033631566
0.01,57,ND,0.8588790934639203,0.10443670410348364
0.01,57,NE,0.8383649703823371,0.11567505540157509
0.01,57,Silencer,0.49784703991653195,0.009849148631255761
0.01,57,ICM,0.4327123721055465,0.008554004559930163
0.01,58,SPSID,0.9187331769710511,0.18461810195008735
0.01,58,RENDOR,0.8804632335665028,0.12564853562930123
0.01,58,ND,0.8823253599561417,0.12043782940490937
0.01,58,NE,0.8495418365285924,0.14016015117936978
0.01,58,Silencer,0.6077920766367544,0.015506749615083252
0.01,58,ICM,0.37343105288974815,0.00723275102119646
0.01,59,SPSID,0.9264077171817673,0.2129978883437171
0.01,59,RENDOR,0.8759580405447422,0.10547516688234486
0.01,59,ND,0.8652728763758473,0.1169443856698884
0.01,59,NE,0.8600211429637462,0.10296953044545959
0.01,59,Silencer,0.5492594132827561,0.011853264515295895
0.01,59,ICM,0.4682408587774392,0.009704993591011905
0.01,60,SPSID,0.925608965806427,0.11589649354386558
0.01,60,RENDOR,0.8869989271963884,0.07831819232315025
0.01,60,ND,0.8786615549662093,0.07619721602242686
0.01,60,NE,0.8604647363462595,0.07563324829502158
0.01,60,Silencer,0.5418270880189076,0.00843510816830716
0.01,60,ICM,0.4172171365401267,0.006042065816892801
0.01,61,SPSID,0.9222003622728168,0.2019884031171809
0.01,61,RENDOR,0.8725838893617617,0.13104116997948978
0.01,61,ND,0.8676163908945697,0.10137132159524025
0.01,61,NE,0.8472027877603399,0.09904060253631479
0.01,61,Silencer,0.5513613236260488,0.012229779061338205
0.01,61,ICM,0.4114932101352372,0.008499681363983741
0.01,62,SPSID,0.9133478561656614,0.13267297959752097
0.01,62,RENDOR,0.8690924071886077,0.07696135426614298
0.01,62,ND,0.8578276576394503,0.11762121817315158
0.01,62,NE,0.8319464740998693,0.06958756406889281
0.01,62,Silencer,0.5496364109819041,0.01363532896525295
0.01,62,ICM,0.4382714849822772,0.009339181806065971
0.01,63,SPSID,0.9219882342127034,0.2443617087192883
0.01,63,RENDOR,0.8812004779851089,0.09776369969376096
0.01,63,ND,0.879112510341024,0.09993816292484442
0.01,63,NE,0.8435609890614945,0.10453387001211764
0.01,63,Silencer,0.5657845390201306,0.015233139377975113
0.01,63,ICM,0.43823145509697586,0.009802598169248531
0.01,64,SPSID,0.9217670262002076,0.16181865755859212
0.01,64,RENDOR,0.8761158573473212,0.10585108093934675
0.01,64,ND,0.8699887860947575,0.08694894281858047
0.01,64,NE,0.8207447410227279,0.07271160843995789
0.01,64,Silencer,0.5060680506986558,0.008474036752624228
0.01,64,ICM,0.37749792198466453,0.006513621986315569
0.01,65,SPSID,0.911166994816909,0.16723349014643038
0.01,65,RENDOR,0.8732225195207324,0.11132580946242829
0.01,65,ND,0.8590431685850834,0.11058609587036024
0.01,65,NE,0.8244017568659128,0.0871239834986977
0.01,65,Silencer,0.5381264303984922,0.01104489279818106
0.01,65,ICM,0.4238880755250403,0.008178765928381015
0.01,66,SPSID,0.9389732278015658,0.20225400089194165
0.01,66,RENDOR,0.8918216207044546,0.0968053305269827
0.01,66,ND,0.8948170106208254,0.12051324035351513
0.01,66,NE,0.8456254110205064,0.08506757035816895
0.01,66,Silencer,0.48180364392898456,0.009621392810260965
0.01,66,ICM,0.507619890453678,0.009570820969877594
0.01,67,SPSID,0.9033220173830486,0.14646554009378138
0.01,67,RENDOR,0.8611932653959905,0.06385487586345524
0.01,67,ND,0.8577474700470856,0.09195894883266766
0.01,67,NE,0.8329294153286881,0.06573909881496005
0.01,67,Silencer,0.4420596278749228,0.008777307478800202
0.01,67,ICM,0.4630009025693558,0.008680451416365434
0.01,68,SPSID,0.903064036579023,0.1506298630080249
0.01,68,RENDOR,0.8382705698781993,0.06349562757148271
0.01,68,ND,0.8341706229989609,0.09980716495005743
0.01,68,NE,0.8048344328998279,0.055547081846481605
0.01,68,Silencer,0.5205751459157454,0.010385522834044477
0.01,68,ICM,0.4375470628876623,0.008551724907162689
0.01,69,SPSID,0.8975689285615236,0.16417492637948197
0.01,69,RENDOR,0.8454609566598916,0.10623933806901266
0.01,69,ND,0.8434274699979002,0.1205738954971039
0.01,69,NE,0.8280876707118492,0.0840291660694165
0.01,69,Silencer,0.562443789396947,0.01376936619731168
0.01,69,ICM,0.456972888165167,0.01042163699303605
0.01,70,SPSID,0.8955308283066974,0.19988427459669642
0.01,70,RENDOR,0.8760726944841739,0.09615002071661617
0.01,70,ND,0.8472605481624277,0.07904973329853181
0.01,70,NE,0.8349197033766557,0.0890920041624507
0.01,70,Silencer,0.5650233583110503,0.011987142277057744
0.01,70,ICM,0.39811151358746344,0.008288385403327604
0.01,71,SPSID,0.922634086723694,0.25993222826080464
0.01,71,RENDOR,0.8816077810431288,0.09351131352886292
0.01,71,ND,0.8887512999809493,0.13795521961776694
0.01,71,NE,0.862611142515389,0.12196285516153037
0.01,71,Silencer,0.5613986597834042,0.011864501259779205
