Beta,Trial,Method,AUROC,AUPR
0.1,56,Silencer,0.5006473511092449,0.05054425771229844
0.1,56,ICM,0.4471183020310392,0.041338549627547565
0.1,57,SPSID,0.9067172003725535,0.44589332651702324
0.1,57,RENDOR,0.8535266370238133,0.3056073338958637
0.1,57,ND,0.8446786884026489,0.2676770767875137
0.1,57,NE,0.7999886841216068,0.27420429567347043
0.1,57,Silencer,0.5212370549912124,0.05783678942728134
0.1,57,ICM,0.4677382724372898,0.04862038590252908
0.1,58,SPSID,0.914189347533186,0.44464908719400986
0.1,58,RENDOR,0.8600945608509428,0.27118730242811045
0.1,58,ND,0.8486978335701941,0.24635911565736476
0.1,58,NE,0.8002348514482142,0.24975955077334117
0.1,58,Silencer,0.493009057931844,0.04750817100667938
0.1,58,ICM,0.4662015284454616,0.045485643380766064
0.1,59,SPSID,0.9100020167262233,0.42691561743458945
0.1,59,RENDOR,0.8621311034103382,0.25172285550792123
0.1,59,ND,0.8525132775312391,0.23935564510904037
0.1,59,NE,0.7955534788077187,0.23642235350535168
0.1,59,Silencer,0.5090613129788036,0.04794506473275717
0.1,59,ICM,0.44856042660962214,0.04269653168593279
0.1,60,SPSID,0.9038837213081893,0.39621466406145334
0.1,60,RENDOR,0.8528308530751771,0.2541932101138234
0.1,60,ND,0.8414356062863302,0.2300464143773024
0.1,60,NE,0.7994575033452335,0.22074983926807873
0.1,60,Silencer,0.4992164298367743,0.048344614493596075
0.1,60,ICM,0.46567568299646245,0.04776099319244918
0.1,61,SPSID,0.9027750314400741,0.41947394757794065
0.1,61,RENDOR,0.8585310916187047,0.26669749607688464
0.1,61,ND,0.8420186812481819,0.23684160800724427
0.1,61,NE,0.8030177198102786,0.22881228685702104
0.1,61,Silencer,0.5407446661727653,0.05380606122456613
0.1,61,ICM,0.45177650699239547,0.04280263932506999
0.1,62,SPSID,0.9085024684828819,0.44519515828304307
0.1,62,RENDOR,0.8608542819961534,0.28015991765909826
0.1,62,ND,0.8470309107386313,0.24796445747880205
0.1,62,NE,0.821102095885035,0.2421206070892343
0.1,62,Silencer,0.5140951125544923,0.04941189704790968
0.1,62,ICM,0.4584725260025638,0.042245591318677125
0.1,63,SPSID,0.9089119645929317,0.44410621774983244
0.1,63,RENDOR,0.8480556382130924,0.2589907591153755
0.1,63,ND,0.8413244644646699,0.24050408448710825
0.1,63,NE,0.7873493780162875,0.22407947662863023
0.1,63,Silencer,0.5144991295306306,0.055187713210980066
0.1,63,ICM,0.4430342783655014,0.04160730594889494
0.1,64,SPSID,0.8986257160623778,0.4262878298497144
0.1,64,RENDOR,0.8456731420591331,0.27082990331281803
0.1,64,ND,0.836813987056163,0.23827498256563667
0.1,64,NE,0.7960750749498887,0.24142602650707443
0.1,64,Silencer,0.5423275805168503,0.05509963748129059
0.1,64,ICM,0.4464646754140048,0.041810246503501985
