Trial,Method,AUROC,AUPR
78,RENDOR,0.857533821593808,0.30612578268723384
78,ND,0.8503826760337291,0.2752702117787566
78,NE,0.8119374158501287,0.2660201619463526
78,Silencer,0.5106516578276794,0.05636429580846672
78,ICM,0.47759790450630274,0.05028701955711565
79,SPSID,0.9092459042136348,0.4167883801635302
79,RENDOR,0.8612004904681103,0.26392264060496473
79,ND,0.8455492707305879,0.2365507127283157
79,NE,0.8167186940934521,0.248082727820985
79,Silencer,0.5044278252535603,0.05046605048817811
79,ICM,0.4204154257213271,0.040671967773166416
80,SPSID,0.9068081899928709,0.43352097952457447
80,RENDOR,0.8544043197798764,0.26542922720099515
80,ND,0.8443503881616242,0.2443216370620683
80,NE,0.7981854889983272,0.23694648625764408
80,Silencer,0.5282970767487782,0.05707996266841862
80,ICM,0.4529410944328361,0.047652699840519584
81,SPSID,0.9127325274694215,0.451217456550298
81,RENDOR,0.8585782237034851,0.28337140217187273
81,ND,0.8539016776843867,0.2658029510158563
81,NE,0.7985706177115836,0.26642850560739356
81,Silencer,0.5402113562985353,0.05449636857450031
81,ICM,0.46907086460047764,0.04759450915526702
82,SPSID,0.9037141361711832,0.4522624387539084
82,RENDOR,0.8557230766454107,0.2942889073683076
82,ND,0.8421743367863024,0.25538737615810436
82,NE,0.800100660321867,0.27768403428379923
82,Silencer,0.504224944234838,0.05199583691478069
82,ICM,0.43033395107760686,0.04335453042760777
83,SPSID,0.9049657969384806,0.46613077634973993
83,RENDOR,0.8549788603320725,0.30077131599074336
83,ND,0.8404129779454975,0.26217689352485246
83,NE,0.8119879864426593,0.2671159533539986
83,Silencer,0.5362207403807364,0.05755304043418927
83,ICM,0.4565417822121845,0.04628272655489646
84,SPSID,0.9120775349497074,0.4410821531317189
84,RENDOR,0.8631957661836673,0.3039597593521019
84,ND,0.8573667235213789,0.2605962567306021
84,NE,0.8109710466049235,0.2513439791143244
84,Silencer,0.5067558276080106,0.049725035771714415
84,ICM,0.4124796624849229,0.04001307661635502
85,SPSID,0.9164938704350034,0.48825211911104455
85,RENDOR,0.8614395702116848,0.26414975278199526
85,ND,0.86048542995547,0.27079371280112846
85,NE,0.8087553155213222,0.23888045206930553
85,Silencer,0.5173960046669608,0.05505309282027132
85,ICM,0.4803584800952113,0.048020981789253535
86,SPSID,0.9045980314364306,0.3943597197178618
86,RENDOR,0.8599236726075125,0.2818566483212342
86,ND,0.849564020078326,0.257807898122174
86,NE,0.7921685676833193,0.22892867768035144
86,Silencer,0.5405771843511392,0.061403768775527175
86,ICM,0.4691405543085728,0.04921735314125951
87,SPSID,0.9151329310708263,0.44335870583994275
87,RENDOR,0.858233755796796,0.2655879238042972
87,ND,0.8492628229408201,0.25101653562033627
87,NE,0.8020513576359612,0.24312161370809895
87,Silencer,0.5551656944956788,0.061544013603550066
87,ICM,0.4399241146711636,0.045578940449923805
88,SPSID,0.9024478344337306,0.39588761392328364
88,RENDOR,0.8512835404513791,0.25898949283524897
88,ND,0.8347422216133802,0.23393946790054193
88,NE,0.8141430927986101,0.23123929781516717
88,Silencer,0.5130358071823554,0.05122111403223126
88,ICM,0.4704443645986198,0.047413502937108845
89,SPSID,0.9044181547104926,0.4297082735783269
89,RENDOR,0.8504271232806327,0.25324315578697393
89,ND,0.8431709441005784,0.23604684151654245
89,NE,0.797679192013685,0.23201661077503125
89,Silencer,0.5614414380894927,0.05854845201804172
89,ICM,0.45156316578832434,0.04172744689634911
90,SPSID,0.9118177254253351,0.42238595556645325
90,RENDOR,0.8594953307598053,0.254144940851436
90,ND,0.8511541938458499,0.2426715254998242
90,NE,0.8003694726059649,0.23822306077501265
90,Silencer,0.5193285570939401,0.05406178065562449
90,ICM,0.4413104596143633,0.04367293663070611
91,SPSID,0.9054712970324383,0.44241979303484075
91,RENDOR,0.8633943986783273,0.2589812916382417
91,ND,0.8526614453823208,0.24746645603408354
91,NE,0.8093524141391928,0.2497427921128269
91,Silencer,0.5549734706880706,0.06053175329304592
91,ICM,0.4377778529582579,0.03896246454493487
92,SPSID,0.9118031969654994,0.46554588134797414
92,RENDOR,0.8763484579523961,0.3079829888058732
